,bookingReference,NPSReason,Topic
249,7877812,The overall service offered by Tui was very good. I find the booking options to be clear and informative. The transfers from the airport to the hotel were easy and without hassle  making the holiday enjoyable from the start.,booking
250,7877824,Airport experience,flights
251,7877836,We took a flight only. Outbound it was delayed 3 hours but we were given no notice of this. You knew in advance but didn't bother to email us to earn us,flights
252,7877840,friendly staff who tried to answer any of our queries. they made thenselves known at the airport and guided us accordingly.,booking
253,7877849,Very helpful check in and cabin staff. Route display on flight great idea. Pity it wasn't on return journey. Boarding would be much quicker if the people at the rear of the plane went on first and those nearest the front went on last. This would then sto,flights
254,7877864,We have been on many tui cruises. The staff are exceptional very hard working and polite. One trip in Gibralter was poor value. The guide needed to be more presentable and not show up in dirty trousers.also herushed the tour. it did not help the fact it ,accommodation
255,7877867,The Hotel is portrayed as 5 star Gourmet Food   it’s most definitely not,accommodation
256,7877885,Second time at same hotel. Reception staff and your rep Jesson were rude.,booking
257,7877895,The transitions provided were smooth (buses etc) and times were clearly explained on the notice board. However the hotel didn’t quite live up to expectations and the trips offered were a rip-off. We found much cheaper prices for the same trips independen,hotel
258,7877897,Our hotel reps were really friendly and helpful. The hotel transfers could have been improved  as we were waiting at the airport for an hour for the bus to be filled. On the way back it took longer as we went,booking
259,7877898,Good holiday. Reps bit disorganised on landing directing to transfer (privately paid). Also would of liked more detail and advice on rooms at hotel as due to lack of info had to upgrade which cost extra. Small things really overall very good.,booking
260,7877900,Getting people onto the flight was a nightmare... missed flight spot and had to wait 75 minutes...,flights
261,7877908,Not loose our luggage !!,flights
262,7877910,As usual all was good  straightforward easy transfers to and from resort. Good availability if the rep at resort  although she could have been more knowledgable about walks etc.,booking
263,7877911,Every thing went well no problems,great
264,7877914,The only time we saw a tui rep was in the airport on the way home . We may as well have been traveling with Ryanair .The service on the flight was very poor and extremely slow. We sat in prebooked seats having paid extra for these row 16 and it took over,flights
265,7877920,The staff on Thomson Spirit really made our holiday  especially our waiters and wine waiter. They are so friendly and helpful. Unfortunately  our itinerary was changed and we could not visit Porto and Lisbon. We appreciate that passenger safety is the pr,accommodation
266,7877921,I,great
267,7877924,The whole holiday far exceeded our expectations and we will certainly include first choice for future holidays.,accommodation
268,7877929,Reps on coaches like the old day,booking
269,7877930,Flight smooth  transfer quick and hotel excellent,flights
270,7877937,Whole holiday was perfect and went very smoothly. Hotel  food  staff was amazing  nothing was too much trouble for them. Flight was easy and on time both ways. Booking and check in easy and smooth. Transfers were comfortable and easy. Reps visible and al,booking
271,7877963,Flights reasonably on time  hotel very good  TUI rep very knowledgable and efficient,accommodation
272,7877965,The holiday was great. Hotel and staff were fantastic. Very helpful great English Only thing is we got sold a sea view room and we were at the side with a partial see room if you leant over the balcony. And our room wasn't the newly renovated ones (we sa,hotel
273,7877974,Transfer from airport too long 2.5 hours at 11 0clock at night is not good,flights
274,7877976,Entertainment good shows waiter service restaurant very slow service 2 hours for 2 people snack Shack was awful no chicken no fish like on Discovery,accommodation
275,7877977,There was an exit tax we were not made aware of. It felt like there was lots of additional charges. However staff were lovely never been on a airline with better or more polite staff/air hostesses included,flights
276,7877995,Everything went very well no complaints,great
277,7877997,The Tui service was very good,accommodation
278,7878001,Holiday ran like clockwork  TUI staff brilliant,great
279,7878009,Aqua Fantasy Hotel in Turkey is definitely not 5 Star  accommodation was poor  broken bathroom toilet  shower. Pillow smelt of body odour  only one child had a duvet the other had a blanket covered in a duvet cover. Hotel was running out of supplies espe,hotel
280,7878020,Plane seats need more comfort.,flights
281,7878022,Flights on time  comfortable and great team on board Hotel transfer was fast and driver was excellent  Hotel was outstanding  lovely presentation throughout  great food  fantastic staff  nothing was too much trouble for all the team. Rooms were very clea,accommodation
282,7878025,nothing to improve on this holiday not a hitch if there was l would tell u as we have used tui for a lot of years now.we had a great time,great
283,7878032,Everything,great
284,7878042,All explained in an email sent to you on 25/09/2018 - Ticket: 2371768,booking
285,7878066,The flights were cheaper than any other companies  even though we was delayed the pilot made the time back on the flight. Had nice service and stuff on the flight,flights
286,7878068,When my wife was admitted to a hospital 40 Miles from our resort for 3days I stayed with her. I asked my son who remained in our hotel to ask the Tui rep in our hotel to phone me. He declined to contact me at the hospital when all I wanted to ask him som,hotel
287,7878075,Local reps were good. All transfers were fine  although driver on return to Munich got a bit stressed about the delays due to track and for a while I felt a bit unsafe as a result of his aggressive driving. He was doing his best by taking backroads to av,flights
288,7878077,Good,great
289,7878088,Every thing was good. Hotel food. Rooms one of the best hotels I've stoo,accommodation
290,7878094,Booking on the website was carried out with consummate ease.. The choices presented were of a good quality and allowed an informed decision. The organisation at the airport at both ends was as good as we've known it to be. The hotel received us very well,hotel
291,7878118,It would be nice to have up date photos of the hotel. As one of the reason we booked here was the gym. Which is nothing like in the photos,hotel
292,7878119,Everything ran very smoothly on the way there couldn’t fault it. Only thing I would say is that the return transfers to the airport took over 2 hours as there was so many pickups where as the one going only took about an hour,flights
293,7878120,Our holiday was fantastic  such friends and helpful staff all around. The TUI introduction meeting could have been a bit better  in terms of we left not sure which trip did what.. but when we went to the desk to speak to the other TUI Rep he explained it,hotel
294,7878125,Service was very good from the first choice reps at the hotel,booking
295,7878137,Over all good experience,great
296,7878138,Very disappointed. Our first cruise and probably our last. Staff were very friendly and accommodation adequate  but my perception of cruising was that there would be an element of 'luxury'  despite the very competitive pricing! The food was terrible (sav,accommodation
297,7878146,Very disappointed with TUI. Our hotel was advertised as on a beautiful Caribbean beach however we weren't informed that the beach was unusable due to the extreme seaweed problem in the area. We were miss-sold this hotel by TUI.,hotel
298,7878149,Good rep and have previously had great experiences with TUI hence the reason why rebooking with this company  however I feel the holiday was very much oversold compared to the experience. Staff were rude and unhelpful. For example  the first evening we s,booking
299,7878150,Holiday was spoiled by the fact that we had hoped to re-charge our batteries with early nights to catch up on sleep as we have busy long days with our jobs. But the evening entertainment meant that we were unable to sleep until late. We thought that the ,hotel
300,7878151,First choice ok but wrong hotel for couples,accommodation
301,7878156,great food,accommodation
302,7878169,hotel   food  location etc brilliant  adults only was great. I had to pay £50 to add Timothy's middle name  that is not a fair charge. I have been a customer for many years with no recognition .,booking
303,7878171,There have been problems with previous bookings which have already been communicated. You're having to build the trust up again !!,booking
304,7878182,Always had good service and holiday as described.,booking
305,7878187,Lovely holiday good service overall enjoyed it,accommodation
306,7878189,Seemless the whole process,great
307,7878191,The cabin crew were very helpful without being intrusive. On our outgoing journey there was a delay  our three year old granddaughter was travelling with us  so she was very excited. The pilot came along the aircraft and explained the reason for the dela,flights
308,7878193,It is very hard not to like the Cape Verde people  and the staff at the Sensimar Cabo Verde didn't disappoint. However  considering this was advertised as a 5T (*?) adults only hotel  we were expecting a relaxing experience. The hotel was  however  very ,accommodation
309,7878194,Hotel and service exceeded expectations,accommodation
310,7878196,Although delayed outbound the flight and cabin crew were friendly and efficient. . Transfer seemed a bit chaotic with little info. Resort was faultless and spotlessly clean. . Reps were knowledgeable and approachable were faultless,flights
311,7878198,The hotel was very clean  friendly staff and good deco. The food was of good standard. The room was cleaned thoroughly to a good standard  very pleased. We felt the superior twin room was below standard  compared to other rooms in other hotels. The air c,hotel
312,7878199,Good flights  great reps and good excursion plus all inclusivemakes it fantastic. Beach and swimming pool sun beds always available. RUI hotels are true 4 star with excellent staff. Cape Verde in November pretty much guaratees sunshine.,accommodation
313,7878205,Wonderful hotel and staff very friendly and helpful didn’t get to meet the TUI rep as they didn’t turn up!,booking
314,7878211,The hotel has gone down in standard and needs a refurb. We had to have the water/bath fixed 3 days and it still wasn’t great. It was our honeymoon so did spoil it a little. The staff was great  friendly and attentive. The tui staff we only saw once throu,hotel
315,7878220,The experience was good.,great
316,7878222,excellent hotel  run by a well known Cypriot company  however the flight management was appalling.,accommodation
317,7878226,Pleasant experience from start to finish. No problems encountered  team at airport were very friendly and informative.,accommodation
318,7878231,The website is sometimes slow to load and update with live availability especially when trying to book last minute. Flight was good both ways  staff are friendly at check in and on the flight.,flights
319,7878232,Our flight back was delayed by an hour. Then we arrived in Manchester we were still on the plane for nearly an hour before we were able to leave the plane. What I found frustrating was the lack of communication with the passengers to explain the reason f,flights
320,7878233,The hotel parco del sole is rated as 4 star which we find very hard to believe given our experience there. The food is not of a great quality  tinned fruit and veg  and not a great selection. The hotel is very dated  riddled with ants  rooms damp  air co,accommodation
321,787824,Helpful and friendly,great
322,7878242,We booked a flight only and this went very well on both flights. The staff were very helpful and the flight was very punctual. Staff were friendly & courteous,flights
323,7878245,When youhaving the morning flight  the tui meeting should be the same day not in the next one. Because it ruins your next day... When you would be able to know everything on the same day. The staff was friendly but about the tui day tours they should exp,flights
324,7878258,Superb resort all round. Breakfast served later into the day and the lobby bar opening earlier would be our only suggestions! Staff were excellent and very knowledgeable of the area!,accommodation
325,7878259,Good price for last minute holiday. Good position hotel. TUI rep to deal with issue to resolution needs tobe improved. Price of excursions expensive compared to independent booking with local travel,booking
326,7878268,Excellent value for money. Hotel ideal for a good quality but economic holiday. On site rep helpful  friendly and knowledgeable. Everything wen well n poblems.,accommodation
327,7878269,The holiday was great couldn’t fault it. However once we was been and done tui left us at Manchester airport waiting for our bags over 1 hour. My girlfriend first holiday was ruined when she needed her suit case. Manchester Airport ignored us saying not ,flights
328,7878271,Have used TUI (and Thomsons) on numerous occasions and have always found them reliable and good value.,booking
329,7878287,The rep Laura was really knowledgable & helpful.,booking
330,7878289,Good holiday but my laundry was ruined when I sent it to be laundered. I did not notice until I got to my hotel for the 2nd part of my holiday and now you will not re-imburse me.....even more expense!,hotel
331,7878291,Improvements to be made:- 1. Reps very unhelpful. Only spoke to you if you spoke first. Didn't mix with clients at all. 2. Reception staff in hotel  very unhelpful. When reporting a problem with the shower  told 'Thats how it is  they are all like that^ ,booking
332,7878301,Tui made the trip to Cyprus very easy.,accommodation
333,7878303,Website was easy to navigate  good choice of holidays to choose from. Only bad point  there was no rep to meet us or guide us to the bus. We had to wait around for a while until she appeared.,booking
334,7878304,We booked a flight only from Birmingham and checked in on line. When we arrived at the airport we were directed to the self check in area. It was pandemonium. The area was small with several 'check in points' crammed in so everyone was getting in everyon,flights
335,7878310,Flight times,flights
336,787832,Great value for money. Good selection of accommodation and travel dates available. Brilliant destinations. There was a great service whilst we were away- reps were fantastic and the 24/7 contact availability was really useful.,booking
337,7878332,Booking site not working properly at log on stage. I could add the API but not actually what I wanted to when inlogged on about what I had booked etc,booking
338,7878334,Flight on time   hotel   staff very helpfully  room clean   large bed comfortable and nice view from balcony. Plenty of food choose. Two Tui reps knowledgeable Of island and trips.,accommodation
339,7878335,The booking process was simple. The flights were on time and flight staff friendly.,flights
340,7878345,Really price  plane looked in good condition and loved the light features  especially on our over night flight. I'm tall and found the leg room really tight. I could hardly sit with my legs straight in front of me - so I was pretty uncomfortable for the ,flights
341,7878355,Nice organised flight  staff were friendly and on the night flight when i asked for a tooth brush ahe gave me the last one on the flight  only thing i could fault was the main meals that werent grea,flights
342,7878364,Hotel food could have been better,accommodation
343,7878373,flight was good I want you guys to it up.i will recommend to friends the benefit of using the flight .,flights
344,7878381,Would like to see a rep accompany the transfers to and from the hotel - this is the one time that you would want them on hand in case of any issues.,booking
345,7878382,We had a brilliant time  apartment was clean and spacious for us and it wasn’t too noisy! We got our money’s worth!,hotel
346,7878385,The location of our room was unacceptable a 10 minute walk to the reception area and main dining and bar areas. My wife has mobility issues which was reflected in the fact that I had booked assistance at the airport. TUI airline managed the assistance is,hotel
347,7878389,All went well  from booking on line  to arriving at Hotel. Could not fault First Choice. And the price was a pleasure as well. I normally book direct with this hotel  First Choice came up 50% cheaper and that included flights and transfers. Superb!!,booking
348,787839,The holiday was excellent - in particular the hotel was amazing. Few problems on the flight out there otherwise would of been a 10.,accommodation
349,7878395,More info at the airport needed as it took 90 mins to get through passport cotril,flights
350,7878397,1) The plane was a big surprise. It was not a new model. All was old and not comfortable I paid extra £ 40/ per person (Total extra £80) for a large room and I had ordinary seat. 2)In the evenings  the hotel was boring. The entire program was adapted to ,hotel
351,7878411,Website easy to use  all went well with holiday. Tui staff helpful.,booking
352,7878425,Brill from start to finish,great
353,7878435,The name of the first week of the cruise was Cuban Fusion. The highlight was supposed to be the visit to Havana. This was curtailed prior to our departure and on our day of arrival we did not dock until 14.00. Leaving the vesssel was a real nightmare. La,flights
354,7878447,We think nearly everything went very well. Nothing to complain about. Really enjoyed our time in tsilvi.,great
355,7878464,Bus to resort had no toilet available.,hotel
356,7878465,Great holiday plenty of leg space on the plane,flights
357,7878467,Everything was straightforward from booking the holiday initially to all of the travel arrangements. The rep on site was very friendly and accessible. It all ran very smoothly. We received the right amount of information at the right time. I can't think ,booking
358,7878470,Food was excellent but could have been more seafood and I didn't see a single sardine (we were in Portugal after all!). Staff were generally friendly amd helpful. Sunbeds and parasols had seen better days. Bath towels were rather small (most people prefe,accommodation
359,7878485,lovey clean accommodation,accommodation
360,7878491,Usually had great holidays with Tui  but the last 6 have had flight delays. It would nice to go away and not have the delay. Other than that bit would be good to see more of the reps at resort.,flights
361,7878495,good service,booking
362,7878496,Positives: hotel  location  VFM Could be improved: Info re rental car  2nd room key  no charge for hotel extras  interaction with rep,booking
363,7878497,First choice and TUI are always helpful and willing to go the extra mile. Simple to book with and no hasstle. Will always go to TUI or first choice as a first option never any faults will always recommend  only improvement could of been the food but that,accommodation
364,7878500,Outbound flight was great. Food especially good. Appreciated the improved climate/reduced fatigue caused by the Dreamliner. Inbound meal was dried up and virtually inedible.,flights
365,7878506,Hotel was not a 5 star  did and drink choice was very poor. Limited choice and food choice was very repetitive. The same foods were served daily more or less.,hotel
366,7878518,My wife and I loved every moment of our holiday experience the food and facilities were exceptional The staff could not do enough for us your service was exceptional The entertainment in the evening was varied and very good Our room was also Big and very,accommodation
367,7878519,Hotel better evening entertainment,accommodation
368,7878528,Terrible absolutely filthy! No way was that hotel a 4 star me and my family had food poisoning and was so ill once we returned back to the uk,hotel
369,7878531,The seat table on the aircraft front row 12 not suitable for large people as unable to go flat. All other aspects were good. Entrance to Royalton Negril not very impressive as first impression.,flights
370,7878534,Flight there was great - we were on row 4 so had lots of room. I didn't like the fact we weren't able to print our boarding passes earlier though - this made me very anxious as i've never gone to an airport without the passes. Flight back wasn't great bu,flights
371,7878536,Everything was fine except bath layout. The way it was  not practical. Hooks for towels fitted in front of toilet. Water spread s out when you take shower.There is nothing to hang your clothes & towels near shower,hotel
372,7878548,The travel arrangements were good flying from Norwich. We found the Hotel and Staff very good. There was an excellent choice of food in whichever Restaurant we chose to visit. However we were very disappointed that the No Shorts rule was not enforced in ,hotel
373,7878550,The crew  entertainment and food was all fab. Loved it all.,accommodation
374,7878552,Fantastic experience. The staff were friendly and always helpful. The complex was beautiful and spotlessly clean.,accommodation
375,7878554,All went very well . Stayed in Thompson Gold  Excellent.,great
376,7878559,Check in was good. Cabin crew very helpful and professional. Hotel was ok  but not great. All inclusive food and drinks not worth staying in most evening. We also had a lot of cockroaches in our room. Although the room was fumigated this didn't stop them,hotel
377,7878560,I think First Choice provides good value for money and a good choice of destinations  I have found their selection of accommodation to be of reliable quality.,accommodation
378,7878565,Excellent package holiday at a great price  Boarding passes pre printed made checking in easy at Bristol Airport  The plane was nice and clean with reasonably priced food and drinks on the plane  TUI representatives were there to meet us at Tenerife Sout,flights
379,7878571,Flight and coach transfers were good/organised. Friendly staff and reps. Resort itself was nice with nice pool. However hotels food  drinks and entertainment were poor.,hotel
380,7878574,Meeting new friends on a quite relaxing holiday just as described by TUI.,accommodation
381,7878575,Easy to book through the website. We went via the last minute deals section as we wanted a deal and got one so couldn’t be happier especially when the transfers and flights were included which helped take the pressure off finding our own flights and havi,booking
382,7878586,Great holiday. Could do with an explanation of where to expect my pram when arriving at destination. Stood at luggage carousel for over an hour waiting for it to come out only to find it had been dump at another part of luggage collection.,flights
383,7878592,Food not as good as on previous visits to this hotel/over cooked and tasteless.,accommodation
384,7878595,Very competitively priced holiday,accommodation
385,7878596,Check in good flights lots of room clean and tidy not dated. Travel from baggage reclaim to coaches needs improvement,booking
386,7878598,Lovely holiday no problems great hotel,accommodation
387,7878606,Issues with the website not working probably resulted in difficulty booking. Hotel was amazing! The photos didn’t do the hotel justice,hotel
388,7878609,Service before holiday was great. Big safeguarding issues during our holiday which has already been raised and being dealt with,booking
389,7878610,Exact description of hotel and surrounding area. Local rep.,booking
390,7878615,Hotel  and satff were very nice - just very disappointed to have no mention of the building work going on next door,hotel
391,7878623,Fabulous shows and great excursions/bike tours made this a holiday to remember.,accommodation
392,7878628,Everything went very well with the booking and transfers  flights were on time and we had no problem with tui or first choice,flights
393,7878630,Communication with reps could be improved. Customers should not rely on an app and should have local and immediate communication at any point during their stay. Although trips can be booked online it is unclear where pickup points are. We wanted to book ,booking
394,7878636,We had problems with the Room they changed at straight away with a Bottle Prosecco  all the Staff are great ?? good food ?? and the best Sea ?? and Beach,accommodation
395,7878637,Was more like a 3 star than a 4 star very small and the journey to the beach could have been better. They certainly dont have AC or a clear indication of time to come back. The food was also more of the same. Loved the trip to the 5 star hotel very nice.,accommodation
396,7878639,Hotel was really good. They were doing building works which was annoying,hotel
397,7878641,Excellent from start to finish,great
398,7878661,Flights on time,flights
399,7878667,I flew to malaga (9th Sept) with no problems. However on the way home (16th Sept) we were delayed by 40 in the airport with no explanation as to why. Then we were delayed on the runway due now fault of TUI. However it took ages to even offer free cups of,flights
400,7878673,Starting with booking holiday  I felt everything was to be running smoothly and easily. We had no issues with finding help from tui staff. Considering the fact  all of the instructions were clear  no additional questions were needed.,booking
401,7878680,From start to finish we had no trouble with anything. The flight was on schedule and transfer smooth. The only thing I could criticise was the air conditioning in the room this wasn't very good but apart from that I could not fault the hotel or staff,hotel
402,7878688,Wonderful hotel  great flights  perfect,accommodation
403,7878693,The TUI reps are very professional always there and contactable if need be The online booking is easy,booking
404,7878697,Always no issues flights are on time and comfortable  greatvflight times and plenty of options in hotels great value and choice. Reps are helpful and and available,booking
405,7878701,No issues apart from original room allocated was overlooking a building site,hotel
406,7878723,Lovely hotel  friendly staff  really good food. Great holiday.,accommodation
407,7878728,Travelling from Bournemouth was so easy  the reps helpful  arriving at mahon was quick and easy the transfer by taxi was quick and efficient. The hotel was lovely and Charlotte our rep was friendly  helpful and gave us confidence if we had had any proble,booking
408,787873,Phone calls to customer service could be better,booking
409,7878733,The staff were very friendly at the hotel. We like booking through Tui as the transfers are included and it is a brand that we both trust. The hotel was very clean and the staff kept the hotel very clean. There was something for everybody at the hotel fr,hotel
410,7878745,Better flight times scheduled from newcastle. Tired of night flights.,flights
411,7878757,Flight was fine both ways. Hotel was ok  a little bit dasappointing at first  staff were all friendly it was more that we were unable to use the facilities at the Protur Safari Hotel whilst our child was over there in Kids club  we were under the impress,hotel
412,7878761,Perfect holiday from the beginning to the end. All the tui staff from the cabin crew to the rep at resort were extremely helpful and very professional. Nothing was a problem. First class service.,flights
413,7878769,Alice and Terrell were very good at organising activities and keeping everyone informed of events taking place during the day and at night. They bothy made a point of chatting to everyone and created a very inclusive atmosphere. They had activities for a,hotel
414,7878770,Many positives. The location of the hotel was excellent with great beach and shops very very near by. The hotel team were excellent and were able to help with all our enquiries. Great smiles and always greeted you. The food was excellent and of a high st,accommodation
415,7878771,This was a last minute booking and we were not sure what to expect  from the moment we checked in at the airport till the time we got home it was the best. The staff who got us onto the busses at Cancun we’re great receptionists very efficient and the al,flights
416,7878777,the only downside of the holiday was on the last day  we had to be out our room by 12 oclock and our pick up wasnt untill 6.40 pm the only courtesy room was fully booked so we could not have a shower and get changed before we left this put a downer on ou,hotel
417,7878780,Ease of booking  special assistance were very efficient  TUI flight attendants were very helpful  they asked if they could do any more in helping us to our seats as one of my group was disabled  as in not able to walk a great distance. Their service thro,flights
418,7878786,From the beginning  when I walked into TUI in Stratford  I was reassured and felt confident in what was being discussed. I was given many suggestions from the 3 colleagues I spoke too and also allowed to read over reviews from previous customers. I was a,booking
419,7878793,only improvement is seatting space on plane - feels very cramped,flights
420,7878794,Everything it was perfect in this holiday. It was a very small thing that I didn’t enjoy  which was the hotel room that had a bad smell all the time. But because I was in 5 excursions  so I was most of the time away  didn’t affect me very much.,hotel
421,7878795,A late booking but everything went to plan. Smooth flights on a nice new  comfortable plane  easy transfers and a lovely hotel. No negatives.,flights
422,7878799,Quick and efficient flights and airport experience. Lovely and clean hotel. Food could be improved in hotel  not good quality meat. Staff efficient  however  don’t seem interested in English people  hotel all about German people including food and entert,accommodation
423,7878806,I choose TUI because you have direct flight from Birmingham to Cancun  I had good service during the flight  very good experience traveling the flight was amazing  any delay  the seats are fine  the food is fine  I enjoy the dutty free offers during the ,flights
424,7878812,The Best Company,great
425,7878816,Wider aircraft seats,flights
426,787882,Reliable service. Polite staff,booking
427,7878840,Holiday was great. Hotel was wonderful. Delayed flights weren't wonderful. Interestingly  I went online to see if the inbound flight was delayed and it was - by 2 hours. How about not taking us from the hotel if you know we're going to have to sit in a t,flights
428,7878852,Flights good food quality and drinks poor,accommodation
429,7878853,Quickest boarding and ready for take of process I have ever known. Attendants very warm and friendly,booking
430,7878860,Hi  We recently stayed at Kerkyra golf resort in Corfu and had a fantastic time. The hotel itself and amenities I would say were above average  the staff were friendly and pleasant and the food was nice. However  what made the stay so great were your Tui,accommodation
431,7878861,First time at Sirenis  Cala Llonga and have not done an all inclusive anywhere for nearly 10 years. It was an excellent experience for a change and would consider A.I. again as being abroad in Euroland is so expensive to drink and eat out. We are so luck,accommodation
432,7878864,Gassed by sewerage transfer every day,great
433,7878866,Everything went really well  from the plane leaving on time to the hotel being awesome can't fault it.,flights
434,7878885,Online booking was simple  but flights with Thomas Cook added s level of confusion especially when trying to contact someone regarding a query,booking
435,7878886,TUI do a good job with the package holiday. you know what to expect and there are no surprises. The whole experience was good from start to finish and went like clockwork. Flight OK  transfers timely and hotel fine.,flights
436,7878888,Coach journey unessesarely long,great
437,7878901,The whole First Choice / TUI experience was great - the app was informative and really useful for quick and easy reference to the boarding passes and general holiday information as well as for info whilst on holiday linked to acitivities and departure de,booking
438,7878903,Hotel was excellent  very clean and as described on your website. The TUI rep in the hotel  Aiden  was excellent  very knowledgeable about the island and helpful when we booked day trip. He was available at the desk every day and very helpful and cheerfu,accommodation
439,7878904,Great package holiday with flights  accommodation and transfers included at a good rate. They look after you and would happily book again.,booking
440,7878928,Hotel absolutely great. Your marketing of the A la carte? Not a big difference to anybody else stopping at the hotel! It was the hotel that made the holiday. Not worth the extra money you mark up,accommodation
441,7878930,No info for our pick up time. I text the number that was advertising in the TUI information book. It said I could text! I sent the message and still waiting for a reply!! CRAP SERVICE!,booking
442,7878931,Nice refit at hotel! Food entertainment & staff all excellent. Weather also better than expected an excellent time had by all,accommodation
443,7878934,Almost everything about our holiday was great. The staff were helpful  although they weren't especially friendly or approachable. The choice of all-inclusive drinks was slightly limited and we were only allowed one drink per person with our evening meal ,hotel
444,7878960,Staff were always helpful and smiling. Quality and variety of food in the buffet restaurant was excellent. The hotel was so clean at all times. Kids club - the staff so friendly and kind  our 6 year old really enjoyed the activities. Entertainment was go,accommodation
445,7878966,Alway received good service,booking
446,7878968,Location ????????.food??????????service ????????,booking
447,7878969,I did not like the check in at Birmingham airport. I prefer to be checked in by a person not a machine,flights
448,7878974,Flight was poor. Hotel was good,flights
449,7878986,Flight out the seat would not recline and the reading light was broken and would not come on . At the hotel the mattress was worn out with broken springs BUT was quickly replaced with a new memory foam mattress. Food was good and very varied. Evening ent,hotel
450,7878991,Great holiday  good rep & a good airline too. Info was easy to access online with booking & printing necessary info off. It was good to see excursions we could do online & plan for the holiday. Reps abroad are friendly too  making you feel safe,booking
451,7878992,Lovely hotel  lovely staff.,accommodation
452,7878993,I paid you for a holiday that you really wasn’t even involved in when we landed we was put on the bus with a spainish driver that could not speak English no rep it was meant to be a 60 min transfer that took nearly 3 hours had to just look at hotel names,flights
453,7878998,Lovely experience from start to finish staff very helpful and friendly,booking
454,7879001,Every thing went good on my holiday to Mexico went premium class which I try to do on long haul holidays cant find fault with anything from check in till I returned. Would be nice to have access to lounge on return airport .,flights
455,7879009,The seats on the plane were very cramped flying out  especially with a large man next to me and a toddler on my lap. Luckily we had a spare seat on the return journey which was much better. Transfers were ok although us and fellow guests were a bit unsur,flights
456,7879014,No rep in hotel at all  wasn't told this by anyone. When we did email about a trip it took 36 hours to get back to us. Felt dumped. Have used tui for years but will think twice in future.,booking
457,7879029,Reps all friendly and helpful. Great room for the price. Sometimes a rep may have taken a while to be around the hotel but would be there each day.,booking
458,7879032,Having had the problem of drone interference from Gatwick  we flew on the 27th December with no problems at all  flight on time leaving and arriving. Arrived at Tenerife South by Tui rep and directed to mini bus to take us to hotel. We stayed at Guayarmi,flights
459,7879048,Another great holiday at cinco plaza. The entertainment team are fantastic.,accommodation
460,7879055,Hotel die congressi was fabulous. Staff there very helpful. Lovely big room and balcony. Husband coeliac and they accommodated his gluten free diet brilliantly. Actual area Castlemare di Stabia bit of a dump but railway station well placed for travel to ,accommodation
461,7879060,Hi The resort and arrival transfer was great. Food on the plane was cold but we hit turbulence so I guess it couldn't be reheated. The score is only an 8 as the return transfer was unorganized  chaotic and nobody knew which bus to get on. They didn't hav,flights
462,7879061,This is the 6th HV holiday we have been on having previously stayed at HV Majorca 4 times and Lanzarote once. Overall  very enjoyable a few minor issues on site managed by reservations. Main issue  totally unacceptable service for the VIP Airport experie,flights
463,7879083,Informative  helpful staff. Rep went out of his way at airport to get my kindle returned to me when I left it on the plane. I don’t personally like the hard sell on trips  especially when the meeting is early the day after landing following a long haul f,flights
464,7879096,The price of the holiday was excellent but the accommodation on arrival we were given a room where in the bathroom we found a pool of water. Their response was in the morning to put down towels not very efficient and finally after 5 days of our holidays ,hotel
465,7879099,Easy booking system Lots of choice of holiday Good rating system on Holidays Good and accurate pictures for hotel Lots of reviews to read Choice of excursions to book Helpful customer service line when I had a query,booking
466,78791,"fast, efficient, and proffessional. Always there to help. Great knowledge advice and tips. Friendly, approachable and great prices.",booking
467,7879104,Fabulous hotel and staff. Nothing was too much trouble.,hotel
468,7879109,Nice hotel for a total relax and unwind holiday. Buffet food caters for all tastes. Hotel entertainment a bit dull of an evening but only real let down for us was that there was nowhere to walk to for a stroll as it us remote.,accommodation
469,7879111,Efficient check in at the airport and quick transfer to resort. SENSATORI TUI staff at hotel very helpful,booking
470,7879114,Excellent experience from start to finish  from the TUI reps to each individual member of staff at the hotel. Holiday from the very beginning was well organised and the Sensatori hotel was exceptional although the photos on the website do not do it justi,booking
471,7879117,I wish to raise a complaint . 1. TUI representatives at the Airport were more occupied with their make up and chatting than with customers. 2. The Karbel Hotel was terrible. We arrived at the room & there was faeces spots on the sheets  blood on the cove,hotel
472,7879122,The hotel management did not seem to have customer interests at heart as they did not have enough staff in the hotel which annoyed a number of guests and meant service was slow.,hotel
473,7879124,Holiday location and experience was fine in terms of us going around and doing what we went to Gran Canaria to do. But the service from TUI was below average in my opinion. The way there. I felt rushed through to the plane  the flight attendants didn't l,flights
474,7879140,I can honestly say nothing need improvement every question or worry I had was answered and left me reinsured   I'm definitely booking with TUI from now one.,booking
475,7879141,Everything about tui was good flight was smooth pilot was awesome communication throughout the flight there and back.,flights
476,7879142,Hotel was a bit tired compared to previous RIU ones I’ve visited. Food excellent   great choice in the buffet   excellent in Sir George but spoilt by erratic service. Pool needed tiles fixing . Entertainment excellent. Flights good   Dreamliner always ha,accommodation
477,7879144,The holiday overall was good  but more communication from the TUI staff and Reps would of been good in respects of our flights  which were delayed on the outbound and inbound flights. Bristol Airports Website  knew the flights were going to be delayed  b,flights
478,7879151,I’ve travelled with Tui before and feel confident that it will run smoothly. The excursions are usually very good also,accommodation
479,7879154,We would have liked to be told that a scene holiday was for youngster,hotel
480,7879158,Very well described holiday. Would be better if it were cheaper during school holiday periods.,accommodation
